点菜以后十分钟，菜就上齐了，堆了满桌子，瞬间没有食欲。很多菜都是温热的，能说明什么，菜是是先做好的！！！羊排也是温的，真的太差了，以后不想来了。,一般
大厅越来越挤，服务明显跟不上了,一般
周六下午4点不到来吃的，可能时间不对，上菜太慢了，本来午饭没吃就饿的要死，上来的都是甜品酸奶，正餐等了2，30分钟才上。,一般
一共点了4个菜，上菜四十分钟，一盘46块钱的螺丝椒小炒肉，里面不超过十片肉，全部都是辣椒，炒面越来越不如以前了！服务员马俊祥态度还挺好，服务很热情！,一般
不太好吃都一家店，菜品本来也说不上不好吃只不过更谈不上好吃。最要差评的是那个奶茶，天哪，那个膻啊骚啊，点的时候和菜单上也没有特别说明啊，是用什么特殊的奶做的。喝了一口差点吐出来，給大家排雷了，不喜欢膻味的千万慎点！,一般
环境一般味道不错偏咸服务一般,一般
饭点，排队人比较多，要等位。羊肉串3.5元／串（2串起卖），羊肉吃上去很嫩，总感觉怪怪的。酸奶9元／碗，不甜不酸，比较稠，也感觉怪怪的。,一般
耶里夏丽吃了n多次了，之前大都在人广那边店吃，今天过来玩，带男票来吃，还是一如既往地点了大盘鸡：量挺大，两个人吃不下玩，这边土豆烧的不太熟,一般
吃过那么多家的耶里夏丽，这家服务真心差，那么热的天在店里不开空调也就算了，还赶人走，原因是后面的人等了很久，卧槽！没看见我们还在吃吗？哪有赶还在吃的客人走的，这家开在路边也能猜出店员的素质了，热的我们汗一头又一头，一身又一身，有那么节约空调的吗？总之全部都是差评，同事聚会一点都没有欢乐的气氛，一直在赶人！不会再去了！,一般
很一般,一般
一杯水叫了二个人，都答应但是就是不送过来。第三次有点生气的要水才及时送来。炒羊杂简直就是炒羊肚子。,一般
今天有朋友生日，一直想尝下他们家，大盘子还可以，酸奶还可以，其他菜品不想多说，再说说地毯都不如的服务，因为我们蛋糕是芝士的的，在门口问一个服务员，可以帮我们蛋糕放冰箱吗？回答说找吧台，到了吧台，吧台一个女孩子说不负责，找服务员，转身碰到了一个服务员，服务员说找区域服务员，终于找到了一个服务员肯帮我们放蛋糕，拿出来芝士都已经化了，要打火机点蜡烛，又告知没有，我只想说你们这么大的品牌这么顶级垃圾服务，是怎么培养出来的，希望你们能培养出像吴朋宇这样的员工，整个吃饭过程他的服务态度还是可以的。,一般
美女都长得好漂亮哦，服务还不错哦。,一般
量很多，味道一般…………---,一般
